사이트,회사명,제목,링크
사람인,(주)인텍에프에이,2026 상반기 각 부문 신입 및 경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53643008&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,롯데이노베이트(주),2026년 6월 신입사원 채용 일반전형(Software(카드IS팀)),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54057929&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,엔큐리티(주),"[IT정보보안/사세확장] 부문별 채용 (네트워크보안,총무,인사)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53947368&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,에스앤피플주식회사,[스타벅스/본사] 정보보안 업무 사무보조 사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54023597&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,엘에스아이티씨(주),[LS ITC] 경력직 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53673200&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)케이지파이낸셜,[KG파이낸셜] 정보보안팀 정보보호 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53852122&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,에스케이쉴더스(주),MSS사업 Hybrid 보안관제 경력직 상시 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53473721&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)무등기업,전산(IT)팀원 채용 공고 - 전산/보안관리,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53706098&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,아이티사이언스(주),(신입/경력) 아이티사이언스(주) 안양본사 전산보안팀 채용 안내,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53876325&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)윈스테크넷,"6월 윈스테크넷 월간채용(신입) - 관제,개발,QC,엔지니어,영업",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54063667&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)엔씨아이티에스,[NC 자회사] ㈜NC ITS 보안관제 인력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54087341&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)엘지씨엔에스,[LG CNS]보안분야 전 영역 전문가 모집(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53947937&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
